name,slug,klepierre_url,country,website_url,boutiques_url,nb_enseignes,nb_visitors_M
Val d'Europe,val-d-europe,https://www.klepierre.com/nos-centres-leaders-678f6e8467070/val-d-europe,France,https://val-d-europe.klepierre.fr,https://val-d-europe.klepierre.fr/boutiques-restaurants,190,20
Hoog Catharijne,hoog-catharijne,https://www.klepierre.com/nos-centres-leaders-678f6e8467070/hoog-catharijne,Pays-Bas,https://hoog-catharijne.klepierre.nl,https://hoog-catharijne.klepierre.nl/boutiques-restaurants,110,35
Gran Reno,gran-reno,https://www.klepierre.com/nos-centres-leaders-678f6e8467070/gran-reno,Italie,https://shopville-gran-reno.klepierre.it,https://shopville-gran-reno.klepierre.it/boutiques-restaurants,123,9
Créteil Soleil,creteil-soleil,https://www.klepierre.com/nos-centres-leaders-678f6e8467070/creteil-soleil,France,https://creteil-soleil.klepierre.fr,https://creteil-soleil.klepierre.fr/boutiques-restaurants,270,21
Nový Smíchov,novy-smichov,https://www.klepierre.com/nos-centres-leaders-678f6e8467070/novy-smichov,Tchéquie,https://novy-smichov.klepierre.cz,https://novy-smichov.klepierre.cz/boutiques-restaurants,170,20
Emporia Malmö,emporia-malmo,https://www.klepierre.com/nos-centres-leaders-678f6e8467070/emporia-malmo,Suède,,,180,7
Field's Copenhague,field-s-copenhague,https://www.klepierre.com/nos-centres-leaders-678f6e8467070/field-s-copenhague,Danemark,,,135,9
Maremagnum,maremagnum,https://www.klepierre.com/nos-centres-leaders-678f6e8467070/maremagnum,Espagne,https://maremagnum.klepierre.es,https://maremagnum.klepierre.es/boutiques-restaurants,80,11
Belle Épine,belle-epine,https://www.klepierre.com/nos-centres-leaders-678f6e8467070/belle-epine,France,https://belle-epine.klepierre.fr,https://belle-epine.klepierre.fr/boutiques-restaurants,220,17
Nueva Condomina,nueva-condomina,https://www.klepierre.com/nos-centres-leaders-678f6e8467070/nueva-condomina,Espagne,https://nueva-condomina.klepierre.es,https://nueva-condomina.klepierre.es/boutiques-restaurants,180,13
Plenilunio,plenilunio,https://www.klepierre.com/nos-centres-leaders-678f6e8467070/plenilunio,Espagne,https://plenilunio.klepierre.es,https://plenilunio.klepierre.es/boutiques-restaurants,191,12
Campania,campania,https://www.klepierre.com/nos-centres-leaders-678f6e8467070/campania,Italie,https://campania.klepierre.it,https://campania.klepierre.it/boutiques-restaurants,180,"13,5"
Blagnac,blagnac,https://www.klepierre.com/nos-centres-leaders-678f6e8467070/blagnac,France,https://blagnac.klepierre.fr,https://blagnac.klepierre.fr/boutiques-restaurants,133,"7,5"
Oslo City,oslo-city,https://www.klepierre.com/nos-centres-leaders-678f6e8467070/oslo-city,Norvège,,,87,11
Porta Di Roma,porta-di-roma,https://www.klepierre.com/nos-centres-leaders-678f6e8467070/porta-di-roma,Italie,https://porta-di-roma.klepierre.it,https://porta-di-roma.klepierre.it/boutiques-restaurants,192,16
Le Gru,le-gru,https://www.klepierre.com/nos-centres-leaders-678f6e8467070/le-gru,Italie,https://le-gru.klepierre.it,https://le-gru.klepierre.it/boutiques-restaurants,214,11
La Gavia,la-gavia,https://www.klepierre.com/nos-centres-leaders-678f6e8467070/la-gavia,Espagne,https://la-gavia.klepierre.es,https://la-gavia.klepierre.es/boutiques-restaurants,175,13
Casamassima,casamassima,https://www.klepierre.com/nos-centres-leaders-678f6e8467070/casamassima,Italie,,,100,"7,5"
RomaEst,romaest,https://www.klepierre.com/nos-centres-leaders-678f6e8467070/romaest,Italie,,,214,10
O'Parinor,o-parinor,https://www.klepierre.com/nos-centres-leaders-678f6e8467070/o-parinor,France,https://oparinor.klepierre.fr,https://oparinor.klepierre.fr/boutiques-restaurants,139,"11,3"
Odysseum,odysseum,https://www.klepierre.com/nos-centres-leaders-678f6e8467070/odysseum,France,https://odysseum.klepierre.fr,https://odysseum.klepierre.fr/boutiques-restaurants,125,15
Grand Place,grand-place,https://www.klepierre.com/nos-centres-leaders-678f6e8467070/grand-place,France,https://grand-place.klepierre.fr,https://grand-place.klepierre.fr/boutiques-restaurants,120,10
L'Esplanade,l-esplanade,https://www.klepierre.com/nos-centres-leaders-678f6e8467070/l-esplanade,Belgique,https://lesplanade-shopping.klepierre.be,https://lesplanade-shopping.klepierre.be/boutiques-restaurants,132,7
